"","TeamFan","Response","Race","Political"
"271","Atlanta Falcons","IndependentWhite","White","Independent"
"272","Atlanta Falcons","IndependentWhite","White","Independent"
"273","Atlanta Falcons","IndependentWhite","White","Independent"
"274","Atlanta Falcons","IndependentWhite","White","Independent"
"275","Atlanta Falcons","IndependentWhite","White","Independent"
"276","Atlanta Falcons","IndependentWhite","White","Independent"
"277","Atlanta Falcons","IndependentWhite","White","Independent"
"278","Atlanta Falcons","IndependentWhite","White","Independent"
"279","Atlanta Falcons","IndependentWhite","White","Independent"
"280","Atlanta Falcons","IndependentWhite","White","Independent"
"281","Atlanta Falcons","IndependentWhite","White","Independent"
"282","Atlanta Falcons","IndependentWhite","White","Independent"
"283","Atlanta Falcons","RepublicanAsian","Asian","Republican"
"284","Atlanta Falcons","RepublicanBlack","Black","Republican"
"285","Atlanta Falcons","RepublicanBlack","Black","Republican"
"286","Atlanta Falcons","RepublicanBlack","Black","Republican"
"287","Atlanta Falcons","RepublicanBlack","Black","Republican"
"288","Atlanta Falcons","RepublicanBlack","Black","Republican"
"289","Atlanta Falcons","RepublicanBlack","Black","Republican"
"290","Atlanta Falcons","RepublicanBlack","Black","Republican"
"291","Atlanta Falcons","RepublicanHispanic","Hispanic","Republican"
"292","Atlanta Falcons","RepublicanHispanic","Hispanic","Republican"
"293","Atlanta Falcons","RepublicanOther","Other","Republican"
"294","Atlanta Falcons","RepublicanOther","Other","Republican"
"295","Atlanta Falcons","RepublicanOther","Other","Republican"
"296","Atlanta Falcons","RepublicanWhite","White","Republican"
"297","Atlanta Falcons","RepublicanWhite","White","Republican"
"298","Atlanta Falcons","RepublicanWhite","White","Republican"
"299","Atlanta Falcons","RepublicanWhite","White","Republican"
"300","Atlanta Falcons","RepublicanWhite","White","Republican"
"301","Atlanta Falcons","RepublicanWhite","White","Republican"
"302","Atlanta Falcons","RepublicanWhite","White","Republican"
"303","Atlanta Falcons","RepublicanWhite","White","Republican"
"304","Atlanta Falcons","RepublicanWhite","White","Republican"
"305","Atlanta Falcons","RepublicanWhite","White","Republican"
"306","Atlanta Falcons","RepublicanWhite","White","Republican"
"307","Atlanta Falcons","RepublicanWhite","White","Republican"
"308","Atlanta Falcons","RepublicanWhite","White","Republican"
"309","Atlanta Falcons","RepublicanWhite","White","Republican"
"310","Atlanta Falcons","RepublicanWhite","White","Republican"
"311","Atlanta Falcons","RepublicanWhite","White","Republican"
"312","Atlanta Falcons","RepublicanWhite","White","Republican"
"313","Atlanta Falcons","RepublicanWhite","White","Republican"
"314","Atlanta Falcons","RepublicanWhite","White","Republican"
"315","Atlanta Falcons","RepublicanWhite","White","Republican"
"316","Atlanta Falcons","RepublicanWhite","White","Republican"
"317","Atlanta Falcons","RepublicanWhite","White","Republican"
"318","Atlanta Falcons","RepublicanWhite","White","Republican"
"319","Atlanta Falcons","RepublicanWhite","White","Republican"
"320","Atlanta Falcons","RepublicanWhite","White","Republican"
"321","Atlanta Falcons","RepublicanWhite","White","Republican"
"322","Atlanta Falcons","RepublicanWhite","White","Republican"
"323","Atlanta Falcons","RepublicanWhite","White","Republican"
"324","Atlanta Falcons","RepublicanWhite","White","Republican"
"325","Atlanta Falcons","RepublicanWhite","White","Republican"
"326","Atlanta Falcons","RepublicanWhite","White","Republican"
"327","Atlanta Falcons","RepublicanWhite","White","Republican"
"328","Atlanta Falcons","RepublicanWhite","White","Republican"
"329","Atlanta Falcons","RepublicanWhite","White","Republican"
"330","Atlanta Falcons","RepublicanWhite","White","Republican"
"331","Atlanta Falcons","RepublicanWhite","White","Republican"
"332","Atlanta Falcons","RepublicanWhite","White","Republican"
"333","Atlanta Falcons","RepublicanWhite","White","Republican"
"334","Atlanta Falcons","RepublicanWhite","White","Republican"
"335","Atlanta Falcons","RepublicanWhite","White","Republican"
"336","Atlanta Falcons","RepublicanWhite","White","Republican"
"337","Baltimore Ravens","DemocratAsian","Asian","Democrat"
"338","Baltimore Ravens","DemocratAsian","Asian","Democrat"
"339","Baltimore Ravens","DemocratAsian","Asian","Democrat"
"340","Baltimore Ravens","DemocratAsian","Asian","Democrat"
"341","Baltimore Ravens","DemocratAsian","Asian","Democrat"
"342","Baltimore Ravens","DemocratBlack","Black","Democrat"
"343","Baltimore Ravens","DemocratBlack","Black","Democrat"
"344","Baltimore Ravens","DemocratBlack","Black","Democrat"
"345","Baltimore Ravens","DemocratBlack","Black","Democrat"
"346","Baltimore Ravens","DemocratBlack","Black","Democrat"
"347","Baltimore Ravens","DemocratBlack","Black","Democrat"
"348","Baltimore Ravens","DemocratBlack","Black","Democrat"
"349","Baltimore Ravens","DemocratBlack","Black","Democrat"
"350","Baltimore Ravens","DemocratBlack","Black","Democrat"
"351","Baltimore Ravens","DemocratBlack","Black","Democrat"
"352","Baltimore Ravens","DemocratBlack","Black","Democrat"
"353","Baltimore Ravens","DemocratBlack","Black","Democrat"
"354","Baltimore Ravens","DemocratBlack","Black","Democrat"
"355","Baltimore Ravens","DemocratBlack","Black","Democrat"
"356","Baltimore Ravens","DemocratHispanic","Hispanic","Democrat"
"357","Baltimore Ravens","DemocratHispanic","Hispanic","Democrat"
"358","Baltimore Ravens","DemocratHispanic","Hispanic","Democrat"
"359","Baltimore Ravens","DemocratOther","Other","Democrat"
"360","Baltimore Ravens","DemocratOther","Other","Democrat"
"361","Baltimore Ravens","DemocratOther","Other","Democrat"
"362","Baltimore Ravens","DemocratOther","Other","Democrat"
"363","Baltimore Ravens","DemocratWhite","White","Democrat"
"364","Baltimore Ravens","DemocratWhite","White","Democrat"
"365","Baltimore Ravens","DemocratWhite","White","Democrat"
"366","Baltimore Ravens","DemocratWhite","White","Democrat"
"367","Baltimore Ravens","DemocratWhite","White","Democrat"
"368","Baltimore Ravens","DemocratWhite","White","Democrat"
"369","Baltimore Ravens","DemocratWhite","White","Democrat"
"370","Baltimore Ravens","DemocratWhite","White","Democrat"
"371","Baltimore Ravens","DemocratWhite","White","Democrat"
"372","Baltimore Ravens","DemocratWhite","White","Democrat"
"373","Baltimore Ravens","DemocratWhite","White","Democrat"
"374","Baltimore Ravens","DemocratWhite","White","Democrat"
"375","Baltimore Ravens","DemocratWhite","White","Democrat"
"376","Baltimore Ravens","DemocratWhite","White","Democrat"
"377","Baltimore Ravens","DemocratWhite","White","Democrat"
"378","Baltimore Ravens","DemocratWhite","White","Democrat"
"379","Baltimore Ravens","DemocratWhite","White","Democrat"
"380","Baltimore Ravens","DemocratWhite","White","Democrat"
"381","Baltimore Ravens","DemocratWhite","White","Democrat"
"382","Baltimore Ravens","DemocratWhite","White","Democrat"
"383","Baltimore Ravens","DemocratWhite","White","Democrat"
"384","Baltimore Ravens","DemocratWhite","White","Democrat"
"385","Baltimore Ravens","DemocratWhite","White","Democrat"
"386","Baltimore Ravens","DemocratWhite","White","Democrat"
"387","Baltimore Ravens","DemocratWhite","White","Democrat"
"388","Baltimore Ravens","DemocratWhite","White","Democrat"
"389","Baltimore Ravens","DemocratWhite","White","Democrat"
"390","Baltimore Ravens","DemocratWhite","White","Democrat"
"391","Baltimore Ravens","DemocratWhite","White","Democrat"
"392","Baltimore Ravens","DemocratWhite","White","Democrat"
"393","Baltimore Ravens","IndependentAsian","Asian","Independent"
"394","Baltimore Ravens","IndependentAsian","Asian","Independent"
"395","Baltimore Ravens","IndependentAsian","Asian","Independent"
"396","Baltimore Ravens","IndependentBlack","Black","Independent"
"397","Baltimore Ravens","IndependentBlack","Black","Independent"
"398","Baltimore Ravens","IndependentBlack","Black","Independent"
"399","Baltimore Ravens","IndependentBlack","Black","Independent"
"400","Baltimore Ravens","IndependentBlack","Black","Independent"
"401","Baltimore Ravens","IndependentBlack","Black","Independent"
"402","Baltimore Ravens","IndependentBlack","Black","Independent"
"403","Baltimore Ravens","IndependentHispanic","Hispanic","Independent"
"404","Baltimore Ravens","IndependentHispanic","Hispanic","Independent"
"405","Baltimore Ravens","IndependentOther","Other","Independent"
"406","Baltimore Ravens","IndependentOther","Other","Independent"
"407","Baltimore Ravens","IndependentOther","Other","Independent"
"408","Baltimore Ravens","IndependentOther","Other","Independent"
"409","Baltimore Ravens","IndependentOther","Other","Independent"
"410","Baltimore Ravens","IndependentOther","Other","Independent"
"411","Baltimore Ravens","IndependentOther","Other","Independent"
"412","Baltimore Ravens","IndependentWhite","White","Independent"
"413","Baltimore Ravens","IndependentWhite","White","Independent"
"414","Baltimore Ravens","IndependentWhite","White","Independent"
"415","Baltimore Ravens","IndependentWhite","White","Independent"
"416","Baltimore Ravens","IndependentWhite","White","Independent"
"417","Baltimore Ravens","IndependentWhite","White","Independent"
"418","Baltimore Ravens","IndependentWhite","White","Independent"
"419","Baltimore Ravens","IndependentWhite","White","Independent"
"420","Baltimore Ravens","IndependentWhite","White","Independent"
"421","Baltimore Ravens","IndependentWhite","White","Independent"
"422","Baltimore Ravens","IndependentWhite","White","Independent"
"423","Baltimore Ravens","IndependentWhite","White","Independent"
"424","Baltimore Ravens","IndependentWhite","White","Independent"
"425","Baltimore Ravens","IndependentWhite","White","Independent"
"426","Baltimore Ravens","IndependentWhite","White","Independent"
"427","Baltimore Ravens","IndependentWhite","White","Independent"
"428","Baltimore Ravens","IndependentWhite","White","Independent"
"429","Baltimore Ravens","IndependentWhite","White","Independent"
"430","Baltimore Ravens","IndependentWhite","White","Independent"
"431","Baltimore Ravens","IndependentWhite","White","Independent"
"432","Baltimore Ravens","IndependentWhite","White","Independent"
"433","Baltimore Ravens","IndependentWhite","White","Independent"
"434","Baltimore Ravens","IndependentWhite","White","Independent"
"435","Baltimore Ravens","IndependentWhite","White","Independent"
"436","Baltimore Ravens","IndependentWhite","White","Independent"
"437","Baltimore Ravens","IndependentWhite","White","Independent"
"438","Baltimore Ravens","IndependentWhite","White","Independent"
"439","Baltimore Ravens","IndependentWhite","White","Independent"
