Name,Disaster.type,Year,Month,Day,Total.CPIAdjusted.Cost.in.Billions,Deaths
Eastern Severe Weather (March 2021),Severe Storm,2021,3,27,1.481,8
Texas Hail Storms (April 2021),Severe Storm,2021,4,12,1.623,0
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021,4,27,3.464,0
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021,5,2,1.378,4
Louisiana Flooding (May 2021),Flooding,2021,5,17,1.451,5
Ohio Valley Hail Storms (June 2021),Severe Storm,2021,6,17,1.844,0
Central Severe Storms (June 2021),Severe Storm,2021,6,24,1.353,0
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021,7,7,1.298,1
Central Severe Storms (July 2021),Severe Storm,2021,7,8,1.156,0
North Central Severe Weather (August 2021),Severe Storm,2021,8,10,1.374,2
Tropical Storm Fred (August 2021),Tropical Cyclone,2021,8,16,1.367,7
Hurricane Ida (August 2021),Tropical Cyclone,2021,8,29,78.722,96
Hurricane Nicholas (September 2021),Tropical Cyclone,2021,9,14,1.087,0
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021,12,10,4.111,93
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021,12,15,1.871,1
Western Drought and Heat Wave (2021),Drought,2021,1,1,9.443,229
Western Wildfires (2021),Wildfire,2021,6,1,11.232,8
Southern Tornado Outbreak (March 2022),Severe Storm,2022,3,30,1.281,2
Southeastern Tornado Outbreak (April 2022),Severe Storm,2022,4,4,1.409,3
Southern Severe Weather (April 2022),Severe Storm,2022,4,11,2.678,1
Southern and Central Severe Weather (May 2022),Severe Storm,2022,5,1,1.139,1
North Central Hail Storms (May 2022),Severe Storm,2022,5,9,1.929,0
North Central Severe Weather (May 2022),Severe Storm,2022,5,11,2.589,1
North Central Hail Storms (May 2022),Severe Storm,2022,5,19,1.839,0
Central Severe Weather (June 2022),Severe Storm,2022,6,7,1.837,0
Central Derecho (June 2022),Severe Storm,2022,6,13,2.936,1
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022,7,22,1.294,1
Kentucky and Missouri Flooding (July 2022),Flooding,2022,7,26,1.195,42
Hurricane Fiona (September 2022),Tropical Cyclone,2022,9,17,,25
Western Wildfires (Spring-Fall 2022),Wildfire,2022,4,1,,17
Western/Southern Plains Drought and Heat Wave (2022),Drought,2022,1,1,9.327,117
Hurricane Ian (September 2022),Tropical Cyclone,2022,9,28,,131
