Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
2000-01,Andre Miller,PG,24,CLE,82,2848,20.1,0.541,0.064,0.45,3.8,10.8,7.3,40.5,2.2,0.7,18.1,23.2,6.1,1.9,8,0.136,3,-0.2,2.8,3.4,millean02
2000-01,Anthony Miller,PF,29,TOT,4,11,0.9,0.5,0,0,0,20.4,10.1,0,0,0,33.3,12.2,0,0,0,-0.082,-7.5,-2.4,-9.9,0,millean01
2000-01,Anthony Miller,PF,29,ATL,2,6,4.7,0.5,0,0,0,37.4,18.6,0,0,0,33.3,22.3,0,0,0,-0.15,-6.3,-3.1,-9.5,0,millean01
2000-01,Anthony Miller,PF,29,HOU,1,3,-6.2,,,,0,0,0,0,0,0,,0,0,0,0,-0.007,-12.1,-1.2,-13.3,0,millean01
2000-01,Anthony Miller,PF,29,PHI,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,0.012,-4.4,-1.7,-6.1,0,millean01
2000-01,Brad Miller,C,24,CHI,57,1434,16.4,0.52,0.013,0.585,11.5,23.7,17.3,13.1,1.2,2,13.1,18.1,2.3,1.1,3.4,0.114,-0.2,-1,-1.2,0.3,millebr01
2000-01,Mike Miller,SF,20,ORL,82,2390,13.2,0.541,0.431,0.151,3,12.4,7.6,9.7,1.1,0.6,9.7,18.5,3.3,1.9,5.3,0.106,0.7,-0.9,-0.2,1,millemi01
2000-01,Reggie Miller*,SG,35,IND,81,3181,17.3,0.574,0.395,0.296,1.4,8.5,5.1,15,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,3.4,millere01
2000-01,Chris Mills,SF,31,GSW,15,493,9.6,0.435,0.131,0.188,4.8,16.2,10,6.1,0.9,0.7,8.8,19.4,0,0.1,0.1,0.007,-2.8,-1.6,-4.4,-0.3,millsch01
2000-01,Terry Mills,PF,33,IND,14,113,1.1,0.368,0.5,0,4.1,16.5,10.5,7.2,1.4,0.6,22.7,18.2,-0.4,0.1,-0.2,-0.096,-7.8,-0.4,-8.2,-0.2,millste01
2000-01,Sam Mitchell,SF,37,MIN,82,983,8.2,0.455,0.149,0.19,3.2,11.2,7.1,8.6,1.4,0.7,10.3,16.1,0,0.6,0.6,0.03,-3.7,-0.9,-4.6,-0.6,mitchsa01
2000-01,Cuttino Mobley,SG,25,HOU,79,3002,17.7,0.541,0.208,0.39,3.3,11.8,7.7,11.5,1.5,0.6,10.4,24.3,6.2,2,8.2,0.13,1.7,-0.8,0.9,2.2,moblecu01
2000-01,Nazr Mohammed,C,23,TOT,58,912,19.2,0.52,0.003,0.341,14.1,23.6,18.8,3.9,1.7,2.8,13.1,24,1.1,1.4,2.5,0.129,-0.2,-1.3,-1.5,0.1,mohamna01
2000-01,Nazr Mohammed,C,23,PHI,30,196,15.3,0.478,0,0.318,10.6,20.9,15.9,2,1.6,2.6,8.2,25.2,0.1,0.4,0.5,0.116,-3.4,-0.5,-3.9,-0.1,mohamna01
2000-01,Nazr Mohammed,C,23,ATL,28,716,20.3,0.532,0.004,0.349,15,24.3,19.6,4.4,1.7,2.8,14.5,23.7,1,1,2,0.133,0.7,-1.5,-0.9,0.2,mohamna01
2000-01,Jérôme Moïso,C,22,BOS,24,135,3.2,0.422,0.033,0.867,9.9,27.1,18.1,3.6,1.2,2.3,30.3,20,-0.4,0.2,-0.3,-0.096,-9.5,-0.8,-10.3,-0.3,moisoje01
2000-01,Eric Montross,C,29,TOT,54,649,5.4,0.396,0,0.225,8.5,20.5,14.4,4.5,0.9,2.8,21.3,12.9,-0.9,0.9,0,-0.001,-6.6,-0.1,-6.7,-0.8,montrer01
