,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
259,259,Ha nacido una estrella,2018,136,Drama,PG,7.7,Bradley Cooper,Lady Gaga|Bradley Cooper|Sam Elliott|Greg Grunberg,215288866,283699
260,260,Ha nacido una estrella,1976,139,Drama,PG-13,6.1,Frank Pierson,Barbra Streisand|Kris Kristofferson|Gary Busey|Oliver Clark,8.00E+07,9010
261,261,Una extraña entre nosotros,1992,110,Crime,PG-13,5.6,Sidney Lumet,Melanie Griffith|Eric Thal|John Pankow|Tracy Pollan,12282994,3240
262,262,Cuento de primavera,1990,108,Comedy,PG,7.3,Éric Rohmer,Anne Teyssèdre|Hugues Quester|Florence Darel|Eloïse Bennett,201332,3177
265,265,Entre o Ódio e o Amor,1996,108,Comedy,PG,5.7,Martin Lawrence,Martin Lawrence|Lynn Whitfield|Regina King|Bobby Brown,34746109,4007
266,266,Heredarás la tierra,1997,105,Drama,PG,6.1,Jocelyn Moorhouse,Michelle Pfeiffer|Jessica Lange|Jennifer Jason Leigh|Jason Robards,7928412,4864
267,267,Mil palabras,2012,91,Comedy,G,5.9,Brian Robbins,Eddie Murphy|Cliff Curtis|Kerry Washington|Clark Duke,18438149,37162
268,268,Un tiempo para caballos borrachos,2000,80,Drama,PG-13,7.7,Bahman Ghobadi,Ayoub Ahmadi|Rojin Younessi|Amaneh Ekhtiar-dini|Madi Ekhtiar-dini,700159,6780
269,269,Tiempo de matar,1996,149,Crime,R,7.5,Joel Schumacher,Matthew McConaughey|Sandra Bullock|Samuel L. Jackson|Kevin Spacey,108766007,121934
270,270,Un toque de distinción,1973,106,Comedy,PG,6.5,Melvin Frank,George Segal|Glenda Jackson|Paul Sorvino|K Callan,18312000,2554
273,273,El jardín mágico de Stanley,1994,76,Animation,PG-13,5.4,Don Bluth,Gary Goldman|Dom DeLuise|Cloris Leachman|Charles Nelson Reilly|Jonathan Pryce,71368,5751
276,276,Dos colgaos muy fumaos en Navidad,2011,90,Adventure,R,6.3,Todd Strauss-Schulson,Kal Penn|John Cho|Neil Patrick Harris|Patton Oswalt,35033759,62875
277,277,Panorama para matar,1985,131,Action,PG,6.4,John Glen,Roger Moore|Christopher Walken|Tanya Roberts|Grace Jones,50327960,81888
279,279,Un paseo por las nubes,1995,102,Drama,PG,6.7,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn|Giancarlo Giannini,50012507,29829
280,280,La tentación,1999,107,Drama,R,6.6,Tony Goldwyn,Diane Lane|Viggo Mortensen|Bobby Boriello|Anna Paquin,4741987,7631
281,281,Un paseo para recordar,2002,101,Drama,PG-13,7.4,Adam Shankman,Mandy Moore|Shane West|Peter Coyote|Daryl Hannah,41227069,190915
286,286,Una mujer bajo la influencia,1974,155,Drama,PG,8.2,John Cassavetes,Gena Rowlands|Peter Falk|Fred Draper|Lady Rowlands,13336830,18800
290,290,A.I. Inteligencia Artificial,2001,146,Drama,PG,7.2,Steven Spielberg,Haley Joel Osment|Jude Law|Frances O'Connor|Sam Robards,78616689,278444
294,294,ATL - Acima da Lei,2006,105,Comedy,PG-13,6.1,Chris Robinson,T.I.|Lauren London|Evan Ross|Greg Andrews,21160089,10386
295,295,ATM - Armadilha Mortal,2012,90,Horror,PG-13,4.7,David Brooks,Alice Eve|Josh Peck|Brian Geraghty|Mike O'Brian,2034,21907
296,296,La desaparición de Embry,2002,99,Drama,PG-13,4.9,Stephen Gaghan,Katie Holmes|Benjamin Bratt|Charlie Hunnam|Zooey Deschanel,10727683,8933
297,297,Sin salida,2011,106,Action,PG,5.1,John Singleton,Taylor Lautner|Lily Collins|Alfred Molina|Jake Andolina,28087155,73475
300,300,Adam y ellas,2000,97,Comedy,PG,5.8,Gerard Stembridge,Stuart Townsend|Kate Hudson|Tommy Tiernan|Frances O'Connor,151559,6208
301,301,Doce Tentação,2012,98,Drama,R,4.8,Stephen Elliott,Ashley Hinshaw|James Franco|Heather Graham|Lili Taylor,2760,9314
303,303,¿Qué pasó anoche?,2014,100,Comedy,PG-13,6.1,Steve Pink,Kevin Hart|Michael Ealy|Regina Hall|Joy Bryant,48637684,21464
304,304,¿Qué pasó anoche?,1986,113,Comedy,PG-13,6.2,Edward Zwick,Rob Lowe|Demi Moore|Jim Belushi|Elizabeth Perkins,38702310,13515
305,305,A propósito de Schmidt,2002,125,Comedy,PG-13,7.1,Alexander Payne,Jack Nicholson|Hope Davis|Dermot Mulroney|Kathy Bates,65016287,118504
306,306,Una cuestión de tiempo,2013,123,Comedy,G,7.8,Richard Curtis,Domhnall Gleeson|Rachel McAdams|Bill Nighy|Lydia Wilson,15322921,274083
307,307,Un niño grande,2002,101,Comedy,PG-13,7,Chris Weitz,Paul Weitz|Hugh Grant|Nicholas Hoult|Toni Collette|Sharon Small,41385278,164367
308,308,Por encima de la ley,1988,99,Action,PG-13,6,Andrew Davis,Steven Seagal|Pam Grier|Henry Silva|Ron Dean,18869631,26929
309,309,Above the Rim,1994,96,Crime,R,6.6,Jeff Pollack,Duane Martin|Tupac Shakur|Leon|David Bailey,16036534,12866
310,310,Abraham Lincoln: Cazador de vampiros,2012,105,Action,PG-13,5.9,Timur Bekmambetov,Benjamin Walker|Rufus Sewell|Dominic Cooper|Anthony Mackie,37519139,144652
312,312,Principiantes,1986,108,Drama,PG,5.5,Julien Temple,Patsy Kensit|Eddie O'Connell|David Bowie|James Fox,930211,2934
313,313,Poder absoluto,1997,121,Action,R,6.7,Clint Eastwood,Clint Eastwood|Gene Hackman|Ed Harris|Laura Linney,50007168,47294
315,315,Admitido,2006,93,Comedy,PG,6.4,Steve Pink,Justin Long|Jonah Hill|Blake Lively|Adam Herschman,36323505,117826
318,318,Ace Ventura un detective diferente,1994,86,Comedy,R,6.9,Tom Shadyac,Jim Carrey|Courteney Cox|Sean Young|Tone Loc,72217000,260453
319,319,Ace Ventura: Operación África,1995,90,Adventure,PG-13,6.4,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi,108385533,191556
321,321,Águila de acero III,1992,98,Action,PG-13,3.7,John Glen,Louis Gossett Jr.|Rachel McLish|Paul Freeman|Horst Buchholz,2517600,2583
324,324,Across the Universe,2007,133,Drama,PG,7.3,Julie Taymor,Evan Rachel Wood|Jim Sturgess|Joe Anderson|Dana Fuchs,24343673,102698
325,325,Acto de valor,2012,110,Action,PG-13,6.5,Mike McCoy,Scott Waugh|Alex Veadov|Roselyn Sanchez|Nestor Serrano|Rorke Denver,70012847,64309
327,327,Acción Jackson,1988,96,Action,PG-13,5.4,Craig R. Baxley,Carl Weathers|Craig T. Nelson|Vanity|Sharon Stone,20257000,9415
328,328,Adam,2009,99,Comedy,PG-13,7.2,Max Mayer,Hugh Dancy|Rose Byrne|Peter Gallagher|Amy Irving,2277396,32792
331,331,Adaptation (El ladrón de orquídeas),2002,115,Comedy,PG-13,7.7,Spike Jonze,Nicolas Cage|Meryl Streep|Chris Cooper|Tilda Swinton,22245861,167649
332,332,La familia Addams: La tradición continúa,1993,94,Comedy,PG-13,6.7,Barry Sonnenfeld,Anjelica Huston|Raul Julia|Christopher Lloyd|Joan Cusack,48919043,72722
333,333,Adictos al amor,1997,100,Comedy,PG-13,6.1,Griffin Dunne,Meg Ryan|Matthew Broderick|Kelly Preston|Tchéky Karyo,34656904,22505
334,334,Proceso de admisión,2013,107,Comedy,PG,5.7,Paul Weitz,Tina Fey|Paul Rudd|Nat Wolff|Gloria Reuben,18004225,32173
336,336,Adventureland,2009,107,Comedy,R,6.8,Greg Mottola,Jesse Eisenberg|Kristen Stewart|Ryan Reynolds|Kelsey Ledgin,16025394,148077
337,337,Aventuras en la gran ciudad,1987,102,Adventure,PG,6.9,Chris Columbus,Elisabeth Shue|Maia Brewton|Keith Coogan|Anthony Rapp,34368475,34791
339,339,Aflicción,1997,114,Drama,PG-13,7,Paul Schrader,Nick Nolte|Sissy Spacek|James Coburn|Brigid Tierney,6302154,14122
341,341,Hasta la noche mi amor,1990,114,Crime,PG-13,6.6,James Foley,Jason Patric|Rachel Ward|Bruce Dern|Rocky Giordani,2678414,3019
343,343,After Earth,2013,100,Action,PG,4.8,M. Night Shyamalan,Jaden Smith|David Denman|Will Smith|Sophie Okonedo,60522097,184471
344,344,Jo qué noche,1985,97,Comedy,PG-13,7.7,Martin Scorsese,Griffin Dunne|Rosanna Arquette|Verna Bloom|Tommy Chong,10600000,51738
347,347,El gran golpe,2004,97,Action,PG-13,6.3,Brett Ratner,Pierce Brosnan|Salma Hayek|Woody Harrelson|Don Cheadle,28328132,42863
348,348,Más allá de la muerte,2009,104,Drama,PG,5.9,Agnieszka Wojtowicz-Vosloo,Christina Ricci|Liam Neeson|Justin Long|Chandler Canterbury,108229,34967
349,349,Afterschool,2008,107,Drama,PG-13,6.1,Antonio Campos,Ezra Miller|Jeremy Allen White|Emory Cohen|Michael Stuhlbarg,2606,3964
351,351,Contra todo riesgo,1984,128,Action,PG,5.9,Taylor Hackford,Rachel Ward|Jeff Bridges|James Woods|Alex Karras,25100000,9824
352,352,Contra las cuerdas,2004,110,Biography,PG-13,5.3,Charles S. Dutton,Meg Ryan|Omar Epps|Charles S. Dutton|Tony Shalhoub,5884190,6533
355,355,Superagente Cody Banks,2003,102,Action,PG-13,5,Harald Zwart,Frankie Muniz|Hilary Duff|Andrew Francis|Angie Harmon,47811138,31340
356,356,Superagente Cody Banks 2,2004,100,Action,PG-13,4.5,Kevin Allen,Frankie Muniz|Anthony Anderson|Hannah Spearritt|Cynthia Stevenson,23222861,13307
358,358,Agnes Browne - Un sueño hecho realidad,1999,92,Comedy,PG-13,6.6,Anjelica Huston,Anjelica Huston|Marion O'Dwyer|Niall O'Shea|Ciaran Owens,140426,1941
359,359,Agnes de Dios,1985,98,Drama,PG-13,6.6,Norman Jewison,Jane Fonda|Anne Bancroft|Meg Tilly|Anne Pitoniak,25627836,6432
360,360,Ágora,2009,127,Adventure,PG-13,7.2,Alejandro Amenábar,Rachel Weisz|Max Minghella|Oscar Isaac|Ashraf Barhom,617840,62565
362,362,Air America,1990,113,Action,PG,5.8,Roger Spottiswoode,Mel Gibson|Robert Downey Jr.|Nancy Travis|Ken Jenkins,31053601,25675
363,363,Air Bud: El fichaje de la liga,1998,90,Comedy,PG-13,4.5,Richard Martin,Kevin Zegers|Cynthia Stevenson|Tim Conway|Dick Martin,10215386,5078
364,364,Air Force One (El avión del presidente),1997,124,Action,R,6.5,Wolfgang Petersen,Harrison Ford|Gary Oldman|Glenn Close|Wendy Crewson,172956409,170307
365,365,Air Guitar Nation,2006,81,Documentary,R,7.1,Alexandra Lipsitz,Dan Crane|David S. Jung|Hadia Ackerman|Lance Kasten,71471,1271
367,367,Cabezas huecas,1994,92,Comedy,R,6.1,Michael Lehmann,Brendan Fraser|Steve Buscemi|Adam Sandler|Chris Farley,5370000,43764
368,368,Aterriza como puedas II,1982,85,Comedy,PG-13,6.2,Ken Finkleman,Robert Hays|Julie Hagerty|Lloyd Bridges|Raymond Burr,27150534,45902
369,369,Aterriza como puedas,1980,88,Comedy,G,7.7,Jim Abrahams,David Zucker|Jerry Zucker|Robert Hays|Julie Hagerty|Leslie Nielsen|Kareem Abdul-Jabbar,83400000,195070
370,370,Aeropuerto 77,1977,114,Action,PG-13,5.7,Jerry Jameson,Jack Lemmon|Lee Grant|Joseph Cotten|Olivia de Havilland,3.00E+07,8857
371,371,Aeropuerto 75,1974,107,Action,PG-13,5.7,Jack Smight,Charlton Heston|Karen Black|George Kennedy|Efrem Zimbalist Jr.,47285152,8880
373,373,Akeelah contra todos,2006,112,Drama,G,7.3,Doug Atchison,Angela Bassett|Laurence Fishburne|Keke Palmer|Curtis Armstrong,18811135,17477
375,375,Aladdín,1992,90,Animation,G,8,Ron Clements,John Musker|Scott Weinger|Robin Williams|Linda Larkin|Jonathan Freeman,217350219,337624
376,376,Alaska de Fraser C. Heston,1996,109,Adventure,PG-13,5.7,Fraser C. Heston,Thora Birch|Vincent Kartheiser|Dirk Benedict|Charlton Heston,11567023,4891
377,377,Albert Nobbs,2011,113,Drama,PG,6.7,Rodrigo García,Glenn Close|Mia Wasikowska|Aaron Taylor-Johnson|Antonia Campbell-Hughes,3014696,22497
378,378,Albino Alligator,1996,97,Crime,R,6.1,Kevin Spacey,Matt Dillon|Faye Dunaway|Gary Sinise|William Fichtner,326308,7333
379,379,Alex y Emma,2003,96,Comedy,PG,5.6,Rob Reiner,Luke Wilson|Kate Hudson|David Paymer|Sophie Marceau,14208384,12648
380,380,En la mente del asesino,2012,101,Action,PG-13,5.1,Rob Cohen,Tyler Perry|Matthew Fox|Rachel Nichols|Edward Burns,25888412,31238
381,381,Alex Rider: Operación Stormbreaker,2006,93,Action,PG,5.1,Geoffrey Sax,Alex Pettyfer|Mickey Rourke|Sophie Okonedo|Sarah Bolger,652526,22499
383,383,Alejandro Magno,2004,175,Action,PG-13,5.6,Oliver Stone,Colin Farrell|Anthony Hopkins|Rosario Dawson|Angelina Jolie,34297191,156428
385,385,Alfie,2004,103,Comedy,PG,6.2,Charles Shyer,Jude Law|Sienna Miller|Susan Sarandon|Renée Taylor,13399812,48829
386,386,Ali,2001,157,Biography,PG-13,6.8,Michael Mann,Will Smith|Jamie Foxx|Jon Voight|Mario Van Peebles,58203105,89093
389,389,Alice,1990,106,Comedy,PG,6.6,Woody Allen,Mia Farrow|William Hurt|Joe Mantegna|June Squibb,7331647,12571
390,390,Alicia ya no vive aquí,1974,112,Drama,PG-13,7.3,Martin Scorsese,Ellen Burstyn|Kris Kristofferson|Mia Bendixsen|Alfred Lutter III,18600000,19440
391,391,Alicia a través del espejo,2016,113,Adventure,G,6.2,James Bobin,Mia Wasikowska|Johnny Depp|Helena Bonham Carter|Anne Hathaway,77042381,83060
392,392,Alicia en el País de las Maravillas,2010,108,Adventure,PG,6.4,Tim Burton,Mia Wasikowska|Johnny Depp|Helena Bonham Carter|Anne Hathaway,334191110,364850
397,397,Alien el octavo pasajero,1979,117,Horror,PG-13,8.4,Ridley Scott,Sigourney Weaver|Tom Skerritt|John Hurt|Veronica Cartwright,78900000,733355
399,399,Alien nación,1988,91,Action,PG,6.3,Graham Baker,James Caan|Mandy Patinkin|Terence Stamp|Kevyn Major Howard,25216243,13469
400,400,Alien: Resurrección,1997,109,Action,R,6.2,Jean-Pierre Jeunet,Sigourney Weaver|Winona Ryder|Dominique Pinon|Ron Perlman,47748610,215654
401,401,Alien vs. Predator,2004,101,Action,PG-13,5.6,Paul W.S. Anderson,Sanaa Lathan|Lance Henriksen|Raoul Bova|Ewen Bremner,80282231,176641
402,402,Alien: Covenant,2017,122,Horror,PG-13,6.4,Ridley Scott,Michael Fassbender|Katherine Waterston|Billy Crudup|Danny McBride,74262031,234408
403,403,Aliens: El regreso,1986,137,Action,PG-13,8.4,James Cameron,Sigourney Weaver|Michael Biehn|Carrie Henn|Paul Reiser,85160248,614115
404,404,Pequeños invasores,2009,86,Adventure,PG-13,5.4,John Schultz,Ashley Tisdale|Robert Hoffman|Carter Jenkins|Austin Butler,25200412,19737
405,405,Aliens vs. Predator 2,2007,94,Action,R,4.7,Colin Strause,Greg Strause|Reiko Aylesworth|Steven Pasquale|Shareeka Epps|John Ortiz,41797066,111165
406,406,Alien³,1992,114,Action,R,6.5,David Fincher,Sigourney Weaver|Charles S. Dutton|Charles Dance|Paul McGann,55473600,260911
407,407,Alita: Ángel de combate,2019,122,Action,PG,7.4,Robert Rodriguez,Rosa Salazar|Christoph Waltz|Jennifer Connelly|Mahershala Ali,85710210,170948
408,408,¡Viven!,1993,120,Adventure,PG-13,7.1,Frank Marshall,Ethan Hawke|Vincent Spano|Josh Hamilton|Bruce Ramsay,36733909,46985
410,410,Loca obsesión,2009,99,Comedy,PG,4.8,Phil Traill,Sandra Bullock|Bradley Cooper|Thomas Haden Church|Ken Jeong,33860010,38266
411,411,Doble impacto mortal,2002,95,Action,R,5.9,Kevin Bray,Ice Cube|Mike Epps|Tommy Flanagan|Carmen Chaplin,25482931,12143
412,412,Todos los perros van al cielo,1989,84,Animation,G,6.8,Don Bluth,Gary Goldman|Dan Kuenster|Dom DeLuise|Burt Reynolds|Judith Barsi|Melba Moore,27100027,33449
413,413,Todos los perros van al cielo 2,1996,82,Animation,PG-13,5.5,Larry Leker,Paul Sabella|Charlie Sheen|Sheena Easton|Dom DeLuise|Bebe Neuwirth,8620500,5170
414,414,Todas las cosas buenas,2010,101,Crime,PG-13,6.3,Andrew Jarecki,Ryan Gosling|Kirsten Dunst|Frank Langella|Lily Rabe,578382,50413
415,415,Strike!,1998,97,Comedy,PG-13,6.7,Sarah Kernochan,Kirsten Dunst|Lynn Redgrave|Gaby Hoffmann|Rachael Leigh Cook,968506,6297
416,416,Todo lo que quiero para Navidad,1991,92,Comedy,PG-13,6,Robert Lieberman,Harley Jane Kozak|Jamey Sheridan|Ethan Embry|Kevin Nealon,14812000,4070
417,417,Quase Natal,2013,107,Comedy,R,5.6,Phil Morrison,Paul Giamatti|Paul Rudd|Sally Hawkins|Amy Landecker,4556,5395
418,418,All Over Me,1997,86,Crime,R,6.4,Alex Sichel,Alison Folland|Tara Subkoff|Cole Hauser|Wilson Cruz,150646,3032
419,419,La otra pareja,2001,95,Comedy,R,6.5,Julie Davis,Dan Bucatinsky|Richard Ruccolo|Sasha Alexander|Adam Goldberg,1006969,4362
422,422,Empieza el espectáculo,1979,123,Drama,PG-13,7.9,Bob Fosse,Roy Scheider|Jessica Lange|Leland Palmer|Ann Reinking,37823676,25179
424,424,Dos veces yo,1984,93,Comedy,PG,6.6,Carl Reiner,Steve Martin|Lily Tomlin|Victoria Tennant|Madolyn Smith Osborne,36403064,15499
425,425,Todo o nada,2002,128,Drama,PG-13,7.5,Mike Leigh,Timothy Spall|Lesley Manville|Ruth Sheen|Alison Garland,121756,9373
428,428,Todos los hombres del rey,2006,128,Drama,PG,6.2,Steven Zaillian,Sean Penn|Jude Law|Kate Winslet|Anthony Hopkins,7221458,22880
429,429,Todos los hombres del presidente,1976,138,Biography,PG-13,8,Alan J. Pakula,Dustin Hoffman|Robert Redford|Jack Warden|Martin Balsam,70600000,94857
430,430,Todos los caballos bellos,2000,116,Drama,PG,5.8,Billy Bob Thornton,Matt Damon|Penélope Cruz|Henry Thomas|Angelina Torres,15527125,12512
431,431,All the Real Girls,2003,108,Drama,R,6.8,David Gordon Green,Zooey Deschanel|Paul Schneider|Patricia Clarkson|Shea Whigham,548712,10022
432,432,La clave del éxito,1983,91,Drama,PG-13,5.9,Michael Chapman,Tom Cruise|Lea Thompson|Craig T. Nelson|Charles Cioffi,17233166,14744
433,433,Allan Quatermain y la ciudad perdida del oro,1986,99,Action,PG,4.6,Gary Nelson,Richard Chamberlain|Sharon Stone|James Earl Jones|Henry Silva,3751699,8328
435,435,La serie Divergente: Leal,2016,120,Action,PG,5.7,Robert Schwentke,Shailene Woodley|Theo James|Jeff Daniels|Naomi Watts,66184051,98876
436,436,Aliados,2016,124,Action,PG,7.1,Robert Zemeckis,Brad Pitt|Marion Cotillard|Jared Harris|Vincent Ebrahim,40098064,130101
438,438,Casi famosos,2000,122,Adventure,PG,7.9,Cameron Crowe,Billy Crudup|Patrick Fugit|Kate Hudson|Frances McDormand,32534850,238449
439,439,Héroes por casualidad,1998,90,Adventure,PG-13,5.9,Christopher Guest,Chris Farley|Matthew Perry|Bokeem Woodbine|Barry Del Sherman,6114928,14896
441,441,Casi un ángel,1990,95,Comedy,PG-13,5.5,John Cornell,Paul Hogan|Linda Kozlowski|Elias Koteas|Doreen Lang,6939946,3759
442,442,No llores vuela,2014,112,Drama,R,5.3,Claudia Llosa,Jennifer Connelly|Cillian Murphy|Mélanie Laurent|William Shimell,52961,3080
443,443,Aloha,2015,105,Comedy,PG-13,5.4,Cameron Crowe,Bradley Cooper|Rachel McAdams|Emma Stone|Alec Baldwin,20991497,56888
444,444,Aloha Bobby y Rose,1975,88,Drama,PG-13,6.4,Floyd Mutrux,Paul Le Mat|Dianne Hull|Tim McIntire|Leigh French,3.50E+07,433
445,445,Alone in the Dark,2005,96,Action,PG-13,2.4,Uwe Boll,Christian Slater|Tara Reid|Stephen Dorff|Frank C. Turner,5178569,40761
446,446,Y entonces llegó ella,2004,90,Comedy,PG,5.9,John Hamburg,Ben Stiller|Jennifer Aniston|Debra Messing|Philip Seymour Hoffman,88097164,120212
447,447,La hora de la araña,2001,104,Drama,PG-13,6.4,Lee Tamahori,Morgan Freeman|Michael Wincott|Monica Potter|Dylan Baker,74078174,70266
448,448,Alpha Dog,2006,118,Biography,PG-13,6.9,Nick Cassavetes,Emile Hirsch|Justin Timberlake|Anton Yelchin|Bruce Willis,15229325,96031
449,449,Alpha y Omega,2010,90,Animation,G,5.2,Anthony Bell,Ben Gluck|Hayden Panettiere|Christina Ricci|Justin Long|Dennis Hopper,25077977,12676
452,452,Viaje alucinante al fondo de la mente,1980,102,Horror,R,6.9,Ken Russell,William Hurt|Blair Brown|Bob Balaban|Charles Haid,19853892,30017
454,454,Alvin y las ardillas,2007,92,Animation,PG-13,5.2,Tim Hill,Jason Lee|Ross Bagdasarian Jr.|Janice Karman|David Cross,217326974,71186
455,455,Alvin y las ardillas 3,2011,87,Animation,G,4.3,Mike Mitchell,Justin Long|Matthew Gray Gubler|Jesse McCartney|Jason Lee,133110742,29016
456,456,Alvin y las ardillas: Fiesta sobre ruedas,2015,92,Animation,G,5,Walt Becker,Jason Lee|Justin Long|Matthew Gray Gubler|Jesse McCartney,85886987,15094
457,457,Alvin y las ardillas 2,2009,89,Animation,PG-13,4.5,Betty Thomas,Jason Lee|Zachary Levi|David Cross|Justin Long,219614612,40379
458,458,Always (Para siempre),1989,122,Fantasy,PG-13,6.4,Steven Spielberg,Richard Dreyfuss|Holly Hunter|Brad Johnson|John Goodman,43858790,26475
459,459,Amadeus,1984,160,Biography,G,8.3,Milos Forman,F. Murray Abraham|Tom Hulce|Elizabeth Berridge|Roy Dotrice,51973029,345091
462,462,Amazing Grace,2006,118,Biography,PG-13,7.4,Michael Apted,Ioan Gruffudd|Albert Finney|Michael Gambon|Romola Garai,21208358,23156
464,464,Amazonas en la luna,1987,85,Comedy,PG-13,6.2,Joe Dante,Carl Gottlieb|Peter Horton|John Landis|Robert K. Weiss|Rosanna Arquette|Michelle Pfeiffer|Arsenio Hall|Donald F. Muhich,548696,9527
465,465,Amelia,2009,111,Adventure,PG,5.8,Mira Nair,Hilary Swank|Richard Gere|Ewan McGregor|Christopher Eccleston,14241034,11523
467,467,Amén.,2002,132,Biography,PG-13,7.2,Costa-Gavras,Ulrich Tukur|Mathieu Kassovitz|Ulrich Mühe|Michel Duchaussoy,274299,12867
468,468,La pareja del año,2001,102,Comedy,PG-13,5.7,Joe Roth,Julia Roberts|John Cusack|Billy Crystal|Catherine Zeta-Jones,93607673,52903
469,469,Días rebeldes,1986,102,Drama,G,4.7,Albert Magnoli,Mitchell Gaylord|Tiny Wells|Janet Jones|Michael Pataki,4845724,1354
470,470,American Beauty,1999,122,Drama,R,8.3,Sam Mendes,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley,130096601,1009051
471,471,American Buffalo,1996,88,Drama,PG-13,5.8,Michael Corrente,Dustin Hoffman|Dennis Franz|Sean Nelson,540364,3260
472,472,La soñadora americana,1984,105,Comedy,PG,6.6,Rick Rosenthal,JoBeth Williams|Tom Conti|Giancarlo Giannini|Coral Browne,5021751,1339
473,473,American Dreamz - Salto a la fama,2006,107,Comedy,PG-13,5.4,Paul Weitz,Hugh Grant|Dennis Quaid|Mandy Moore|Willem Dafoe,7191830,23820
474,474,La carrera de la vida,1985,113,Drama,PG,6.4,John Badham,Kevin Costner|David Marshall Grant|Rae Dawn Chong|Alexandra Paul,1400000,5306
475,475,American Gangster,2007,157,Biography,R,7.8,Ridley Scott,Denzel Washington|Russell Crowe|Chiwetel Ejiofor|Josh Brolin,130164645,372996
476,476,American Gigolo,1980,117,Crime,R,6.2,Paul Schrader,Richard Gere|Lauren Hutton|Hector Elizondo|Nina van Pallandt,2.30E+07,19890
477,477,American Graffiti,1973,110,Comedy,PG-13,7.4,George Lucas,Richard Dreyfuss|Ron Howard|Paul Le Mat|Charles Martin Smith,1.15E+08,76368
478,478,Corazón roto,1992,113,Crime,PG-13,6.8,Martin Bell,Jeff Bridges|Edward Furlong|John Boylan|Greg Sevigny,384048,2911
